doc_id,sent_id,sentence,token_count,char_count,rating
3122,3,Ich kann diese Praxis nur weiterempfehlen.,6,42,2.0
5522,1,"Wenn es jedoch darauf ankommt das man Beratung, Betreuung oder informationen braucht, würde ich die Praxis nicht empfehlen.",18,123,4.0
3031,4,"Keine Aufklärung bei Kinderwunsch, unterkühlte Reaktion auf Fehlgeburt, zur Ausschabung überwiesen ohne Aufklärung.",13,115,6.0
1602,3,"Während eines Telefonats hat Sie einfach ""Tschüss"" gesagt und den Hörer aufgelegt.",12,82,2.0
395,6,Doukas sehen und der lang erwartete Termin war ein Witz!,10,56,5.0
7696,2,Geht ruppig an das Kind um es oberflächlich zu untersuchen.,10,59,6.0
5662,1,"Ich hatte ein bißchen Angst, aber die Ärztin und die Sprechstundenhilfe haben mir wunderbar über meine Bedenken hinweggeholfen.",18,127,2.0
6950,3,"Ehses einige Frage zu dem Laborergebnis nicht stellen durfte (""Der Doktor habe es nicht gerne, dass man ihm Fragen stellt"") und man solle den Hausarzt fragen (der den Patienten zum Spezialisten schickt, WEIL er sich selbst nicht auskennt!), habe ich einen anderen Arzt aufgesucht, den ich jederzeit fragen darf.",49,311,4.0
3640,2,"Also legte ich auf und ging um 13:30 zur Prsxis, die heute bis 14 Uhr geöffnet hatte.",17,85,4.0
5953,7,"Schon allein der Terminkalender, hier kann ich mir meinen eigenen Termin aussuchen, stornieren und muss nicht ständig anrufen - TOLL!",20,133,1.0
2664,2,"Unsere Gynäkologin hat sich freundlicherweise angeboten, sich in unserem Namen zu beschweren.",12,93,5.0
2921,0,Ich hatte bereits eine festgestellte eitrige Mandelentzündung und suchte Dr.,10,76,6.0
3154,3,Plötzlich hat die Person einfach ohne weiteres aufgelegt...,8,59,2.0
304,0,"Freundlich, nimmt sich Zeit, nette Arzthelferinnen,",6,51,2.0
404,0,"Ich schließe mich den vielen Vorrednern an, die sich über die extreme Unfreundlichkeit Frau Novakovics geäußert haben.",17,118,6.0
5711,0,"angenehme athmosphäre, nimmt sich zeit. gut als hausarzt geeignet.",9,66,1.0
5402,3,Auch das Praxispersonal entsprach in Punkto Freundlichkeit und Kompetenz nicht meinen Vorstellungen.,12,100,3.0
5243,0,"Eine sehr sehr nette ärtzin, klärt immer super auf, freu mich immer wieder wenn ich hin gehe",17,92,1.0
2176,0,"Im großen und ganzen gut, da man nie fallen gelassen wurde oder ähnliches.",13,74,2.0
2706,0,Zwei harmlose Muttermale entfernen lassen.,5,42,6.0
7241,9,In meiner Wahrnehmung und nach meinen Beobachtungen ist jede Untersuchung und Behandlung in den letzten 7 Jahren durch Dr.,19,122,1.0
472,0,"Birkner ist sehr freundlich und hört zu, jedoch gibt es selten eine Behandlung.",13,79,4.0
1832,0,"und geht auf jeden Patienten ein und nimmt sich Zeit für ihn, wofür man auch mal gern eine kleine Weile im Wartezimmer wartet.",23,126,1.0
3877,2,Vor einigen Wochen habe ich einen Termin für meinen Sohn vereinbaren wollen.,12,76,2.0
3402,0,gute Betreuung seit 7 Jahren mit Entdeckung eines Harnsteines und dessen operative Beseitigung; Arzt hat mein volles Vertrauen.,18,127,2.0
3318,0,"Sehr nette Mitarbeiter, sehr schnelle terminvergaben.",6,53,2.0
7702,5,Welchen Eid haben Sie eigentlich zu Beginn Ihrer Laufbahn abgelegt?,10,67,6.0
3334,1,"Durch verschiedene Methoden und Tipps half er mir dabei, mir selbst zu helfen.",13,78,2.0
1690,2,"Dröge die Diagnose meiner rheumatischen Erkrankung infrage gestellt, ja sogar falsifiziert.",11,91,5.0
2943,2,Haase hörte sich meine Beschwerden an.,6,38,5.0
6650,2,"Einen kurzfristigen Termin bekam ich, war natürlich nicht die einzige Patientin.",11,80,2.0
7234,4,Beim ersten Mal vor ca.,5,23,4.0
2413,2,Personal war normal freundlich und erschien kompetent; 4.,8,57,1.0
6160,3,Die Ärztin ist nicht zu empfehlen.,6,34,4.0
2356,0,"Nach langer Wartezeit, obwohl Termin, wurden mir weitere Untersuchungen ans Herz gelegt, die natürlich auf meine Kosten gehen.",18,126,5.0
4055,0,"Ich habe mich bei diesem Arzt nicht gut aufgehoben gefühlt, er mag kompetent sein und hat mir auch direkt das Medikament gegeben, das ich wollte.",25,145,5.0
6912,3,Hirt nach Schilderung meiner 'verzweifelten' Lage am selben Tag einen Termin!!!,11,79,1.0
6625,3,"Auch die Krankengymnastik war Minimum, obwohl das noch lange nicht gut war.",12,75,6.0
3986,6,"Ortmann, der ein sehr kompetenter Arzt ist, ist leider nur noch gehetzt und unfreundlich.",14,89,5.0
3547,1,"Unabhängig davon, ob man akute Schmerzen hat, wird einem trotzdem der früheste Termin erst in 1 Monat angeboten, oder als Selbstzahler sehr gerne jederzeit.",24,156,5.0
5122,0,"Ausführliches Gespräch, Rezept und Befund werden mit Anmerkung nach Hause geschickt,so spart sich der Patient auch Zeit und Weg, für Fragen telefonisch erreichbar.",23,163,2.0
7537,1,"Trotz Termin 2 std wartezeit, die Empfangsdame ist sehr unfreundlich und scheint keine Lust auf ihren Job zu haben, die Gehilfin scheint genauso Lustlos zu sein, hygienisch unzumutbar, praxis zu klein für die Anzahl der aufgenommenen Patienten, eine Ärztin war sehr unfreundlich zu einer Patientin, ein absolutes NO GO!!!",49,321,4.0
745,5,"Ich habe mir eine andere Praxis suchen müssen, in der man mir auch erklärte, dass man nicht an der Halswirbelsäule ""herumrenken"" darf....",22,137,6.0
3764,5,Ich würde die Praxis nicht empfehlen.,6,37,4.0
6079,3,Auf mich wirkt er zudem auch gründlich und kompetent!,9,53,2.0
7603,2,"Heute traf ich eine andere Assistentin an, als beim ersten Mal nur zur Beantragung eines Hörgerätes, aber sie entpuppte sich ebenfalls als ausgesprochen unfreundlich bei der Anmeldung.",27,184,2.0
4228,1,"Positiv ist, dass es kaum Wartezeit gibt und man schnell Termine kriegt.",12,72,3.0
813,2,Nach 2 Stunden Wartezeit (mit Termin wohlgemerkt) wurde ich zum Chef-Hai vorgelassen.,12,85,6.0
6667,1,"Allerdings sehr lange Wartezeiten trotz Termin, was sehr nervig sein kann.",11,74,2.0
5317,0,Gewiss ist eine sehr kompetente Ärztin und nimmt sich die notwendige Zeit für den Patient.,15,90,2.0
391,1,Die Sprechstundenhelferinnen sind sehr freundlich.,5,50,6.0
1304,1,Dr. war noch nicht anwesend.,5,28,5.0
7529,1,Kind hat fieber und bricht vor husten.,7,38,6.0
2496,4,Habe gut Zahnsubstanz nur bei solchen Zahnärzten lässt es mich zweifeln.,11,72,5.0
210,3,Nora Wendorff-van Riesen weitestgehend wieder genommen.,6,55,2.0
6822,0,"mal nett und mal unfreundliche ärztin, schnelle abfertigung wegen zuvielen patienten. schöne praxis. mit der mutter kam ich besser klar, jetzt FA wechsel nach Glinde und fühle mich deutlich wohler...",30,199,4.0
499,1,"Auch in meiner Schwangerschaft, berät sie mich wunderbar.",8,57,1.0
1314,0,Meine ganze Schwangerschaft habe ich mich durchaus gut betreut gefühlt.,10,71,2.0
5447,1,"Jedoch kann man keine ausfühtlichen Aufklärungsgespräche erwarten, man bekommt die Fakten gesagt und den Ablauf erklärt und das wars.",19,133,3.0
5738,5,Warum ich zu der bestimmten Röntgenpraxis gegangen bin die ist auch nicht gut.,13,78,6.0
1043,1,Meine Nase hat mich seit meiner Jugend gestört und zusätzlich bekam ich auch schwer Luft.,15,89,1.0
1321,2,"Letzteres laut meinem Alter nicht wahrscheinlich (da keine Trauma-Verletzung), trotz 5x Training die Woche, Capoeira, Handstände etc. (daher sich dem MRT verweigert, nach dem ich fragte).",26,187,5.0
2934,1,"Die Zahnextraktion war durch leichte Komplikationen begleitet, woraufhin ich noch einmal in die Praxis musste.",15,110,6.0
3571,3,"Jedoch bin ich fast vom Sofa gefallen, als ich die Rechnung bekam.",12,66,3.0
5893,1,Man bekommt als Privatpatient schon nach einer Liquidationserinnerung einen Anwalt auf den Leib gehetzt.,14,104,5.0
6257,2,Gegenüber schwer kranken Menschen die eine Odyssee hinter sich haben nicht besonders fair.,13,90,4.0
5515,2,"Selben Tag nachmittags hatte ich schon einen Termin, und obwohl ich mich auf lange Wartezeit einstellen sollte, keine 15 Minuten gewartet.",21,138,5.0
6202,15,"Der Wartebereich der Praxis ist leider nicht komplett diskret, da er direkt an der Anmeldung plaziert ist und daher Teile der Gespräche fremde Ohren erreichen.",25,159,3.0
1465,1,"Dass Herr Hirt keinen Doktortitel hat, ist klar.",8,48,6.0
2747,23,Zu diesem Arzt gehe ich nie wieder!,7,35,6.0
5651,2,Entschuldigung dass ich Schmerzen habe.,5,39,6.0
2911,12,"Lampe war angenehm und drehte sich um die Fakten und Beschwerden - ich gehe nicht zum Spezialisten, um dort Smalltalk zu halten, sondern um möglichst effizient behandelt zu werden.",29,180,2.0
4717,1,Rezepte owohl es fü kinder ist bekommt man Privat rezepte die man selber zahlen muss.,15,85,5.0
4975,3,Empfinden der Eltern wurde zum Teil auf eine spöttische Art und Weise reagiert.,13,79,3.0
3084,0,Der Arztbesuch dauerte geschlagene 4-5 Minuten.,6,47,4.0
6498,0,"Habe akute Hörempfindlichkeiten, freute mich als sich sehr rasch eien termin bekam.",12,83,5.0
6240,5,"Lehmann nicht gut informiert und setzte mir die erste Spirale fehlerhaft ein, sodass ein erneuter Versuch und eine neue Bezahlung meinerseits erfolgen musste.",23,158,2.0
724,6,"Zu keiner Zeit hatte ich das Gefühl überredet oder falsch beraten zu werden oder Gefahr zu laufen, überzogene Erwartungen von dem Ergebnis zu entwickeln.",24,153,1.0
3842,0,Es ist ein netter und Kompetenter Arzt .,8,40,2.0
7822,0,"An der Kompetenz diesen Arztes kann ich nicht zweifeln, jedoch man fragt sich nach welchem Prinzip hier die Termine vergeben werden.",21,132,2.0
916,14,Team chirurgisch und zahnärztlich sehr qualifiziert.,6,52,1.0
5697,2,"Vor 3 Jahren das entscheidende Erlebnis: Auf eine auffällige, seit längerem nässende Stelle im Gesicht hingewiesen griff Herr Dr.",19,129,5.0
7913,0,Ich war heute früh das erste Mal in der Praxis.,10,47,4.0
6537,5,Ich war fast kompeltt nackt.,5,28,4.0
7231,5,Auch sieht die Praxis kein bisschen nach einer Wohnung aus.,10,59,2.0
5168,3,"Beim Ultraschall wird das Bild komplett erläutert, sodass man auch als Laie versteht was man darauf erkennen kann.",18,114,1.0
6964,1,"Schwindelanfällen und bekam nach nicht einmal 20 Sekunden Erklärung meinerseits zu hören, ich hätte einen krummen Rücken, einen Buckel.",19,135,5.0
2497,1,"Als ""akut"" eingestuft,hatte ich Glück,im Wartezimmer Platz nehmen,zu dürfen.",9,76,6.0
2537,2,"Mein Vertrauen war so groß, dass ich tags darauf die Behandlung vornehmen ließ.",13,79,1.0
3624,2,Eingehende Beratung und Information ohne Zeitlimit rund um die Machbarkeit im Rahmen der angedachten Nasenspitzen OP.,16,117,1.0
368,2,Praxisorganisation: Ich hatte um den ersten Termin am Tag gebeten und den auch bekommen.,14,88,2.0
4962,0,Es findet keine Beratung statt.,5,31,6.0
3925,2,"Außerdem wurde mir ""normale"" Ultraschahl-Untersuchung durchgeführt, kein Screening, woröber ich nicht informiert wurde.",13,119,5.0
3238,2,"Er hat jederzeit ein offenes Ohr für Patienten, die sich aktiv in den Behandlungsablauf einbringen möchten.",16,107,1.0
7693,6,"Fachlich scheint die Ärztin in Einzelfällen, ich kann nur für mich sprechen, überfordert und man muß schon sehr eindringlich auf eine Überweisung zu einem Facharzt bestehen, von selbst hat die Ärztin noch nie eine Überweisung angeboten, auch wenn die Therapie ganz offensichtlich keine Wirkung zeigt.",45,300,5.0
4230,5,"Klima hörte sich erst detailliert meine Beschwerden an, äußerte eine sehr plausible diagnose und prüfte anschließend via abtasten und ultraschall nochmal auf mögliche tumore.",24,174,1.0
525,1,"Die Behandlung war bisher auch eher mäßig erfolgreich , deshalb habe ich mich schon seit einiger Zeit davor gedrückt einen neuen Termin zu vereinbaren!",24,151,4.0
5188,0,Die Behandlung von Herrn Viertl ist nicht gut.,8,46,6.0
4368,2,Und da Überlegt man/Frau die Ärztin zu wechseln.,8,48,2.0
7032,1,"Meine Tochter (2), die sich vor Ärzten total scheut, saß brav auf dem Behandlungsstuhl und wurde spielerisch untersucht.",18,120,1.0
898,15,"Ein ""Betüddeln"" erwarten wir nicht, jedoch einen sensibleren, liebevolleren Umgang mit dem Baby.",13,96,4.0
2179,1,Neuss 1 Minute auf meine Beschwerdesymptomatik schaute und Schuppenflechte feststellte.,10,87,5.0
1736,5,"Wir waren uns einig, dass wir uns diese Freude durch diesen Arzt nicht nehmen lassen wollen, daher haben wir uns für einen anderen, sehr sehr netten und kompetenten Arzt entschieden.",30,182,5.0
324,0,"Dr Danull steht nie unter Zeitdruck, auch wenn das Wartezimmer voll ist.",12,72,2.0
5268,0,Stegelmann ist toll empfängt uns immer mit einem Lächeln das uns ein gutes und herzliches Gefühl gibt .,18,103,3.0
1670,1,Nach einer misslungenen OP bei einem anderen Arzt war unser Misstrauen sowie unsere Angst mehr als nur groß.,18,108,1.0
6549,4,"Wer allerdings nur entspannen kann, wenn der Zahnarzt Wärme und Fürsorge ausstrahlt, ist bei ihr falsch.",16,104,2.0
7442,2,"Sie war nett, angenehm, zuverlässig und professionell.",7,54,1.0
1813,2,Nimmt sich die nötige Zeit um alle Fragen des Patienten zur Zufriedenheit zu beantworten.,14,89,1.0
1638,3,Allerdings ist das Personal am Empfang eine Katastrophe.,8,56,2.0
6257,0,Sehr freundlicher Arzt der sicherlich weiss wie er sich verkaufen muss.,11,71,4.0
2426,9,Dieses ganze Gespräch hat nicht mal 3 Minuten gedauert.,9,55,6.0
4209,4,Das Personal war sehr nett und hat schnell und m.,10,49,1.0
6551,24,Meine Diagnose: Burnout und tiefe Frustration durch schlechtes Personal,9,71,6.0
2614,1,"Ärztin ist kompetent aber ständig ohne Zeit, man hat manchmal den Eindruck, man wird ""abgearbeitet"".",15,100,3.0
680,14,Mittlerweile sind die Reproduktionsmediziner mit Abstand die Ärztegruppe die am meisten verdient.,12,97,3.0
2173,0,Der Arzt und auch seine Mitarbeiterinnen geben dem Patienten große Siocherheit,11,78,2.0
6514,0,"Bekam nach 2 Minuten Diagnose Kortison, nach weiteren 4 Wochen ohne Besserung erstmal Tabletten gegen Durchblutungsstörungen... ich soll in 2 Wochen erneut kommen für weitere Tests.",26,181,6.0
7802,3,So etwas habe ich noch nie erlebt!,7,34,5.0
4487,2,Meiner Meinung nach ist das nicht in Ordnung.,8,45,4.0
22,3,"Fatalerweise war obendrein der Arzt (ab mittags!) nicht mehr erreichbar und so wurde es zudem für die behandelnden Ärzte im Krankenhaus schwierig, den genauen Ort der Blutung zu lokalisieren.",29,191,4.0
813,1,"Dass die Ignoranz des Vorgängers noch zu toppen ist, hätte ich nicht gedacht.",13,77,6.0
7289,0,"Arzt: + trotz der negativen Punkte durchweg gute oder sehr gute Behandlungsergebnisse - um richtig behandelt zu werden, muss man sehr viel von selber erzählen.",25,159,3.0
1117,7,"An dieser Stelle möchte ich noch erwähnen, dass sich die rote Stelle des Gerstenkorns am Lid vernarbt hat.",18,106,6.0
20,3,"Joneleit mit, dass noch die Möglichkeit bestünde, den Gelenkspalt auszuräumen, so dass die Reibung nicht mehr so stark gegeben ist.",20,131,4.0
5156,5,So wird man also als Patient belogen.,7,37,6.0
1694,10,Wir wollten das Risiko einer langzeitigen Behandlung umgehend vermeiden.,9,72,3.0
5902,0,Ich war eure zum ersten mal in der Praxis und habe durchweg positive Erfahrungen gemacht Um 8:45 Uhr war mein Termin um 9:20 Uhr war ich Fertig.,27,144,2.0
3411,2,"Er hat mir das falsche Medikament verschrieben, dass die Ursache meiner Beschwerden so schlimm hat werden lassen, dass man diese dann (finally!) endlich gefunden hat.",25,166,6.0
3199,4,"Trotz regelmäßiger ""Behandlung"" bei Fr. ""Dr. "" Lohann wurde viel Schaden angerichtet.",12,85,4.0
3046,8,Am Ende zählte bei ihr nur noch in welcher Krankenkasse ist.,11,60,3.0
6944,1,"Aber jedes Mal wo man zu ihr kommt, muss man einen ""Hindernis"" überwinden: eine oder beide Praxishelferinnen, die im besten Fall gleichgültig und abwesend wirken, im schlimmsten - beinah aggressiv.",30,197,1.0
2943,4,Die Kostenvoranschläge bekam ich gleich mit.,6,44,5.0
3690,0,"Ich war aufgrund meiner Blutungen seit Februar dort um mir noch eine Meinung anzuhören ,doch wurde trotz dass ich sehr freundlich und ruhig war respektlos und unverschämt behandelt.",28,181,6.0
680,4,Natürlich wurde mir wärmstens ans Herz gelegt direkt mit einer künstlichen Befruchtung anzufangen.,13,98,3.0
5424,0,"Kompetenter, netter und sympathischer Arzt",5,42,2.0
7509,6,Ein Wasserspender ist auch nicht vorhanden.,6,43,5.0
5203,2,Natürlich wurde er nicht ruhig dadurch.,6,39,3.0
2455,2,Trotz eindeutiger Symptome wird selbst eine 1-tägige Krankschreibung von Frau Dr.,11,81,4.0
523,3,Ich bin dann auch gegangen.,5,27,5.0
1703,5,"Während der Behandlungen wurde immer über ein weg über jeg mögliche Themen gesprochen, als wäre man garnicht anwesend.",18,118,3.0
4859,0,"Bei mir hat Herr Bugdahl ein verändertes Muttermal entfernt, dabei hat er die relativ große Wunde nicht vernäht.",18,112,6.0
6053,5,Gerade für Personen mit Vorerkrankunen wie bei mir ist es nicht akzeptabel.,12,75,3.0
3401,5,Die Kronen waren viel zu groß und passten überhaupt nicht.,10,58,5.0
3361,8,Dann sollte ich ständig für jedes neue Rezept zur Blutabnahme erscheinen.,11,73,4.0
2662,3,"Ich hatte das Gefühl, Schuld am Scheitern zu sein und bei jedem erneuten Besuch mich erneut rechtfertigen zu müssen, warum sich keine Besserung einstellt.",24,154,3.0
2838,0,Sudhoff als ausgesprochen unfreundlich und ungeduldig.,6,54,5.0
2235,4,"Aber leider möchte man da nicht mehr gerne hingehen, mit solchen unfreundlichen Damen, man kommt sich ja wie ein Bitsteller vor.",21,128,2.0
4134,1,Er machte zu dieser Zeit die Vertretung von Herrn Dr.,10,53,5.0
2793,1,Frau Dr Stransky hat meine volle Vertrauen.,7,43,1.0
4299,0,Lausch ist ein sehr netter und umgänglicher Arzt.,8,49,1.0
6368,4,"Anfangs war ich diesbezüglich noch sehr tolerant, da ich sie als eine sehr nette Persönlichkeit empfinde, doch letztlich habe ich mich so unwohl und unverstanden gefühlt, dass ich gar nicht mehr hingehen wollte.",33,211,5.0
1647,6,"Einfach mal probieren, Sprechstunden gehen schnell und ohne lange Wartezeit.",10,76,1.0
1347,1,Jetzt war daraufhin das Knochenmark entzündet und der Zahn musste gezogen werden Höllen Schmerzen.,14,98,4.0
5106,6,"Ich kann nur jeden raten, sich wo anders behandeln zu lassen.",11,61,6.0
733,0,"Obwohl ich keinen Termin hatte, kam ich recht schnell dran.",10,59,2.0
6048,3,"Seine Aussage war direkt ""Spiralen sind sehr gefährlich, mach ich grundsätzlich nur wenn die Frauen dreimal bei mir sind und es dann unbedingt wollen"".",24,151,6.0
1146,2,So habe ich für eine gewöhnliche prof.,7,38,3.0
272,9,"Was ich bei ihm ausgelöst habe, weiß ich nicht, ich weiß nur, dass man unter keinen Umständen mit Patienten so umgehen sollte.",22,126,5.0
3519,10,"Aufgrund dieser Tatsachen, wird Frau Dr. med.",7,45,5.0
335,5,Und Kortison bei Lidrandentzündung ist auch nicht der Weisheit letzter Schluss.,11,79,5.0
2451,7,"Auf Nachfrage meiner Kasse, und selbst in Fachkreisen ist dies auch mehr als genug.",14,83,4.0
7218,1,Bei meiner Wurzelbehandlung die sehr aufwendig war wurde sich sehr viel Mühe gegeben und das sogar alles ganz ohne Schmerzen.,20,125,2.0
7553,2,Beim zweiten Mal haben wir 80 Minuten gewartet.,8,47,2.0
4725,1,Sie hat uns auch bzgl. der Erdnussallergie unserer Tochter gut beraten.,11,71,2.0
6268,1,Konnte auch genau sagen woher mein Problem kommt und wie es weiterbehandelt werden sollte.,14,90,2.0
3607,0,"Am 18.05.2020 erhielt ich tel. einen Termin bereits für den 20., obwohl ich sagte, dass es ""nur"" um eine Ohrenspülung ginge.",21,124,3.0
3616,2,"Toller Arzt, den ich nur weiterempfehlen kann!",7,46,1.0
379,1,"Erklärt alles ausführlich und man fühlt sich sehr gut aufgehoben, so wie es sein soll.",15,86,1.0
5655,1,Rothe und überlege jetzt den Arzt zu wechseln.,8,46,3.0
5532,0,Sehr gut immer auf aktuelle Themen,6,34,2.0
606,0,"Keine Termine, Behandlung nicht in der Reihenfolge des eintreffens daher lange Wartezeit in der Praxis.",15,103,3.0
4922,1,Ich verstehe gerade auch nicht wie dieser Artzt eine durchschnittliche Bewertung von einer Note 3 bekommen kann.,17,112,5.0
5717,2,"Die Diagnose war teilweise falsch (habe mir eine Zweitmeinung eingeholt), wurde mir jedoch gut erklärt.",15,103,3.0
33,1,Ich kann nur wasserlassen wenn ich zugleich die Luft anhalte bis es sehr unangenehm wird wegen der Atemnot.,18,107,1.0
1939,3,"Seligmann, bei dem ich nun schon sehr viele Jahre in Behandlung bin, ist zu jeder Tageszeit freundlich und erklärt während der Behandlung sein Handlen sehr ausführlich, so dass man stets darüber informiert ist, wie und vorallem warum er etwas tut.",40,247,1.0
7865,9,"Die Öffnungszeiten der Praxis sind für ""normale"" Arbeitnehmer sehr unvorteilhaft.",10,81,5.0
3971,3,"Nachdem ich meinem Unmut darüber Luft machte, sagte der Dr. einfach O-Ton : Dann gehen sie doch woanders hin.",19,109,6.0
7675,3,Die Praxis ist nur über eine Treppe zu erreichen.,9,49,2.0
3934,0,"Schiemann ist ein sehr netter und kompetenter Kieferchirurg, der sich auch die Zeit nimmt alle Fragen zu beantworten!",18,117,2.0
7397,7,"Nach zwei (leider total schief gegangenen) Hüft-TEP-OP's in einer angeblichen ""Top""-Klinik in Heidelberg war ich sehr ängstlich und sehr zurückhaltend wegen einer so komplizierten OP am Ellenbogen.",27,197,1.0
7556,4,"Einen Termin bekommt man frühestens erst in einem Monat, und dann wenn der Termin stattfinden soll, muss man immer über einer Stunde warten, bis man dran ist.",27,158,6.0
708,0,"Ich war bei der Praxis nach Schwierigkeiten, eine gute Ärztin zu finden.",12,72,4.0
7256,1,"Nach zuletzt, wie gesagt, eindeutig fehlerhaften Behandlungen machte ich dem Spuk ein Ende und werde diese Praxis nie wieder betreten.",20,134,5.0
7241,7,"Vor allem schätze ich als Patientin die Tatsache, dass Dr.",10,58,1.0
2979,0,"Während mich in Marzahn andere Praxen aufgrund eines ""Neupatientenstops"" wieder wegschickten, konnte ich die Sprechstunde in der Praxis von Fr.",20,143,2.0
4158,0,Sehr unorganisiert. ..schlechte Beratung. ..unfreundliche und überforderte Mitarbeiter. ..,9,90,4.0
13,2,Praxisgehilfen wenig freundlich und schnippisch.,5,48,4.0
3435,3,"Sagte die Mitarbeiter am Empfang von seinem Büro mir sagen können, wo ich die Therapie in der Nähe bekomme.",19,107,6.0
3027,9,"Da ich nun darauf bestand, dass hier nun etwas geschieht, ließ sie sich dazu herab, meinen oberen Rücken abzuklopfen.",19,117,5.0
66,0,Heute war meine Frau mit meinem 6 Jährigen Sohn bei Hr. dr.,12,59,6.0
4118,0,Sehr desinteressierter Arzt und unfreundliches Personal!,6,56,6.0
5048,9,"Die alten Kronen wurden nie korrekt angepasst,waren undicht und der Karies wurde vor den Zahnfüllungen nie komplett entfernt.",18,125,5.0
2257,10,Eine Erklärung für die verschwundene Urinprobe gab es auch nicht.,10,65,5.0
1873,5,Über die Impfungen gab es weder ein Aufklärungsgespräch noch ein Infoblatt.,11,75,4.0
3046,7,Ich war fast zehn Jahre in dieser Praxis Patientin.,9,51,3.0
1001,4,Ich bin heulend aus der Praxis rausgerannt.,7,43,6.0
784,2,Brögelmann und bin wirklich sehr zufrieden.,6,43,1.0
5033,2,Darauf wurde nicht eingegangen bzw.,5,35,5.0
512,2,"Ob ich dann ""kann"" muss ich anhand eines Kalenders ausrechnen und das ist dann auch nicht immer sicher.",18,103,2.0
3014,0,Nachdem ich gut 1 1/2 stunden im wartezimmer verbracht habe wurde ich von der Ärztin nicht einmal wirklich begrüßt.,19,115,5.0
7589,1,Ich habe für jeden Termin ca.,6,29,5.0
5057,2,Für meinen Geschmack zu Wortkarg.,5,33,4.0
6230,1,"Hoydem strikt nach Minutentakt ordiniert; ist das Limit seiner ""Sprechstunde"" erreicht, bekommt man auf eine Zusatzfrage keine Antwort! - Deshalb war für mich ein Wechsel angesagt, zumal es scheint, daß sein Personal infolge von Fluktuation sehr gestreßt zu sein scheint, was sich natürlich auch negativ auf den Patienten überträgt!",49,332,4.0
96,1,"Dort war ich schon bei vielen HNO-Ärzten in Behandlung aber so einen unfreundlichen, inkompetenten Arzt habe ich noch nie erlebt.",20,129,6.0
819,3,Ich bin absolut begeistert und verdanke ihm mein neues Lebensgefühl! :-) Ich würde jederzeit wieder zu ihm gehen!,18,113,1.0
2606,2,Er selbst ist sehr Kinderlieb aber hat eine schwierige Art an sich.,12,67,2.0
4586,2,Nur die Betäubungsspritze zwickte ein bißchen.,6,46,1.0
4544,4,"Wer also eine Praxis sucht mit Wohlfühlfaktor, kann sich sicher sein, dass sie hier richtig ist!",16,96,1.0
6841,2,Auch gibt er gute Ratschläge zur Zahnpflege.,7,44,1.0
2950,1,"Mit dem Rücken zu mir, dem wesentlich älteren Erstpatienten, der sich höflich beim Eintritt des Arztes erhoben hat, rempelt er arrogant meine ausgestreckte Grußhand mit Körpereinsatz zur Seite.",28,193,6.0
2146,9,"Die Dame war so was von unfreundlich, inkompetent, hat nicht mal versucht den Arzt zu fragen ob Ein Patient mit Wartezeit aufgenommen werden kann oder nicht.",26,157,5.0
